Hand Position,Rank,Count,Probablities,Win/NoLose probablity
Front,FourOfKind,2720.00,0.00007920%,100.00000000%
Front,FourCardsFlushStraight,34067.00,0.00099198%,99.99992080%
Front,Mansion,89934.00,0.00261873%,99.99892882%
Front,FullHouse,97890.00,0.00285040%,99.99631009%
Front,FiveCardsFlush,143020.00,0.00416451%,99.99345969%
Front,FiveCardsStraight,230418.00,0.00670940%,99.98929517%
Front,ThreeCardsFlushStraight,22532280.00,0.65610395%,99.98258577%
Front,ThreeOfKind,38203358.00,1.11242067%,99.32648182%
Front,TwoPairs,95800950.00,2.78957042%,98.21406114%
Front,Pair,1295507897.00,37.72311765%,95.42449073%
Front,Nothing,1981541402.00,57.69931592%,57.70137308%
Front,None,70648.00,0.00205716%,0.00205716%
Back,NineCardsFlushStraight,10.00,0.00000029%,100.00000000%
Back,NineCardsFlush,1928.00,0.00005614%,99.99999971%
Back,EightCardsFlushStraight,802.00,0.00002335%,99.99994357%
Back,SevenCardsFlushStraight,19944.00,0.00058074%,99.99992022%
Back,EightCardsFlush,135037.00,0.00393206%,99.99933948%
Back,SixCardsFlushStraight,333359.00,0.00970688%,99.99540742%
Back,NineCardsStraight,1074138.00,0.03127718%,99.98570054%
Back,SevenCardsFlush,3514281.00,0.10233024%,99.95442336%
Back,EightCardsStraight,7834539.00,0.22812924%,99.85209311%
Back,FiveCardsFlushStraight,4188741.00,0.12196944%,99.62396387%
Back,FourOfKind,15268977.00,0.44460819%,99.50199443%
Back,FourCardsFlushStraight,43069105.00,1.25410344%,99.05738625%
Back,SevenCardsStraight,33906556.00,0.98730467%,97.80328280%
Back,SixCardsFlush,44243101.00,1.28828833%,96.81597813%
Back,SixCardsStraight,110197038.00,3.20876147%,95.52768980%
Back,Mansion,115671984.00,3.36818314%,92.31892833%
Back,FullHouse,142182404.50,4.14012418%,88.95074518%
Back,FiveCardsFlush,306257661.00,8.91773319%,84.81062100%
Back,FiveCardsStraight,300313882.00,8.74465986%,75.89288781%
Back,ThreeCardsFlushStraight,242857575.00,7.07162411%,67.14822795%
Back,ThreeOfKind,266501654.50,7.76010188%,60.07660385%
Back,TwoPairs,780161345.50,22.71705042%,52.31650197%
Back,Pair,973750034.50,28.35404338%,29.59945154%
Back,Nothing,42699839.00,1.24335101%,1.24540817%
Back,None,70648.00,0.00205716%,0.00205716%
